Image,Entropy,EdgeDensity,Variance,Score,Label
img_6.png,6.4294586181640625,0.08935546875,1039.2998494505882,1.467325393942525,Suitable
img_55.png,6.580090045928955,0.1162109375,695.6681175231934,1.4172651533611609,Suitable
img_53.png,6.672528266906738,0.11328125,782.4701179862022,1.3952834793871203,Suitable
img_0.png,6.534482479095459,0.079833984375,1450.7934205532074,1.389559469363063,Suitable
img_57.png,6.662064552307129,0.117431640625,785.0906466841698,1.3779392779556603,Suitable
img_59.png,6.710661888122559,0.124755859375,833.3427124023438,1.32704771411752,Suitable
img_36.png,6.898998260498047,0.103271484375,1195.5369927883148,1.302665373672419,Suitable
img_46.png,6.846136569976807,0.115966796875,1017.8678287863731,1.2998229649993798,Suitable
img_5.png,6.346076011657715,0.082275390625,1869.3297536373138,1.2978754161130093,Suitable
img_54.png,6.750407695770264,0.12548828125,957.3867515921593,1.2867861630740363,Suitable
img_43.png,6.8692803382873535,0.1201171875,1053.7999334335327,1.2693935273133785,Suitable
img_40.png,6.902365684509277,0.119140625,1106.6076373457909,1.2556664984834607,Suitable
img_56.png,6.7470197677612305,0.12841796875,1033.3408164978027,1.255095349944293,Suitable
img_2.png,6.546806335449219,0.09228515625,1776.9794311523438,1.250362676084181,Suitable
img_52.png,6.82950496673584,0.132080078125,959.5307607650757,1.2466862976477615,Suitable
img_33.png,6.934271812438965,0.10986328125,1298.0173525214195,1.242955611090291,Suitable
img_50.png,6.8445234298706055,0.13134765625,1004.2387651801109,1.23642695395443,Suitable
img_8.png,6.7918548583984375,0.123779296875,1274.4516563415527,1.2077076056258669,Suitable
img_51.png,6.809915542602539,0.14404296875,922.2846059799194,1.206678106132948,Suitable
img_49.png,6.839036464691162,0.130859375,1251.161437034607,1.1763227742164215,Suitable
img_58.png,6.8374786376953125,0.132080078125,1275.4985603690147,1.1650029121466332,Suitable
img_42.png,7.08961296081543,0.109375,1532.4001913070679,1.1640924567019044,Suitable
img_39.png,7.024981498718262,0.11572265625,1515.5307006835938,1.149530377558358,Suitable
img_41.png,7.04994535446167,0.121337890625,1416.6306762099266,1.1468546642065305,Suitable
img_1.png,6.566356658935547,0.083251953125,2367.6976869106293,1.1364210366144205,Suitable
img_22.png,7.109673500061035,0.11474609375,1608.072021484375,1.1186226339209018,Suitable
img_23.png,7.060478687286377,0.126953125,1428.9065084457397,1.1177911969207157,Suitable
img_24.png,7.090721130371094,0.12353515625,1505.7634239196777,1.1089676342439323,Suitable
img_34.png,7.041094779968262,0.126220703125,1529.1240956783295,1.098069762172785,Suitable
img_48.png,6.985504150390625,0.140625,1354.0289649367332,1.0874886254731202,Suitable
img_11.png,6.824713230133057,0.162353515625,1078.1077260375023,1.0850393806041887,Suitable
img_21.png,7.128068923950195,0.115478515625,1724.4137840270996,1.0832406488643156,Suitable
img_14.png,6.758020401000977,0.17529296875,918.8688692450523,1.078319279142782,Not Suitable
img_44.png,6.9777374267578125,0.130126953125,1587.0044125914574,1.0749167243853748,Not Suitable
img_45.png,7.010221004486084,0.136474609375,1535.0782392024994,1.0560377236480298,Not Suitable
img_10.png,6.793479919433594,0.16845703125,1141.448085784912,1.0465231386232847,Not Suitable
img_4.png,6.853085517883301,0.100341796875,2318.726127386093,1.0352184302920135,Not Suitable
img_35.png,7.011906623840332,0.132080078125,1733.711822450161,1.0243109164192001,Not Suitable
img_47.png,7.086805820465088,0.150634765625,1482.280502319336,0.9972811730632415,Not Suitable
img_12.png,6.9474005699157715,0.1669921875,1316.4434718489647,0.9872618901093422,Not Suitable
img_13.png,6.864333629608154,0.170166015625,1334.3780722022057,0.9801837126649144,Not Suitable
img_15.png,6.9329328536987305,0.165771484375,1380.151088476181,0.9783118793329869,Not Suitable
img_7.png,7.097797870635986,0.119873046875,2109.4235532283783,0.9699986899138581,Not Suitable
img_20.png,7.192112922668457,0.135986328125,1807.0341186523438,0.9639657887984651,Not Suitable
img_32.png,7.075568675994873,0.166015625,1359.0878791213036,0.9631457799258614,Not Suitable
img_29.png,7.123595237731934,0.147705078125,1706.2041720747948,0.9479211271751393,Not Suitable
img_38.png,7.039768218994141,0.17724609375,1274.608020722866,0.9405937645280323,Not Suitable
img_37.png,7.06462287902832,0.173828125,1325.891850888729,0.939028780805898,Not Suitable
img_75.png,6.828023910522461,0.1416015625,2012.506352841854,0.9367696421800139,Not Suitable
img_28.png,7.141986846923828,0.15380859375,1718.511474609375,0.9156468323258241,Not Suitable
img_19.png,6.984219551086426,0.177490234375,1434.2696816921234,0.9063874222773866,Not Suitable
img_3.png,7.023942470550537,0.099365234375,2760.066956937313,0.9035775283134566,Not Suitable
img_9.png,7.057477951049805,0.11376953125,2510.570888519287,0.8998058276271705,Not Suitable
img_30.png,7.082470893859863,0.1806640625,1368.7697591781616,0.8958360870504808,Not Suitable
img_17.png,7.01884651184082,0.176025390625,1499.523396909237,0.8914052077633795,Not Suitable
img_74.png,6.910491943359375,0.13037109375,2344.505954504013,0.8898146996641001,Not Suitable
img_31.png,7.139047622680664,0.17236328125,1551.3516353964806,0.8777488611231978,Not Suitable
img_18.png,7.0057373046875,0.18115234375,1533.2873754501343,0.8622184958124298,Not Suitable
img_61.png,7.193559646606445,0.157958984375,1831.4502195715904,0.8616937445839891,Not Suitable
img_60.png,7.103147506713867,0.16552734375,1751.8432729244232,0.8613292482053228,Not Suitable
img_66.png,7.046955108642578,0.16796875,1834.1696061491966,0.8373522585568459,Not Suitable
img_65.png,7.039119720458984,0.16796875,1855.4371099472046,0.832997249212021,Not Suitable
img_67.png,7.025300025939941,0.1728515625,1826.2154502868652,0.8210384174690872,Not Suitable
img_68.png,7.015291690826416,0.16796875,1978.5217956900597,0.8048549012095971,Not Suitable
img_77.png,6.973701477050781,0.142333984375,2458.1987194418907,0.8000017345483837,Not Suitable
img_27.png,7.2281365394592285,0.161376953125,2008.7452506422997,0.7968404315983413,Not Suitable
